Collinsella aerofaciens,Colon cancer,"Some Lactobacillus species and Eubacterium aerofaciens, which also produces major amounts of lactic acid, showed closest associations with low risk of colon cancer."
Collinsella aerofaciens,Colon cancer,"Lactobacillus S06 and Eubacterium aerofaciens were significantly associated with a low risk of colon cancer, and total lactobacillus concentrations also were inversely related to risk."
Collinsella aerofaciens,Colon cancer,The incidence of Eubacterium aerofaciens showed an inverse relationship with risk of colon cancer among all of the populations tested.
Collinsella aerofaciens,Colon cancer,"Currently, there is no indication that the lactic acid bacteria, including Eubacterium aerofaciens, have any protective effect against colon cancer."
Fusobacterium,Periodontal,"The 2nd complex consisted of a tightly related core group including members of the Fusohaderium nucleatum/periodoniicum subspecies, Prevotella intermedia. Prevotella nigrescens and Peptostreptucoccus micros."
Porphyromonas gingivalis,Periodontal,One complex consisted of the tightly related group: Bacteroides forsythus. Porphvromonas gingivalis and Treponema denticoht. The 1st complex related strikingly to clinical measures of periodontal disease particularly pocket depth and bleeding on probing.
Prevotella,Periodontal,"The 2nd complex consisted of a tightly related core group including members of the Fusohaderium nucleatum/periodoniicum subspecies, Prevotella intermedia. Prevotella nigrescens and Peptostreptucoccus micros."
Prevotella,Periodontal,"however, many of the most ribosome-rich microbes in disease samples were those previously associated with infection, including Tannerella sp., Prevotella sp., Treponema sp., and Porphyromonas sp."
Prevotella,Periodontal,"In patient 1, Tannerella forsythia is the major source of collagenase expression, whereas collagenase expression is augmented by Prevotella tannerae in patient 2 and by Porphyromonas gingivalis in patient 3."
Treponema,Periodontal,One complex consisted of the tightly related group: Bacteroides forsythus. Porphvromonas gingivalis and Treponema denticoht. The 1st complex related strikingly to clinical measures of periodontal disease particularly pocket depth and bleeding on probing.
Treponema,Periodontal,"however, many of the most ribosome-rich microbes in disease samples were those previously associated with infection, including Tannerella sp., Prevotella sp., Treponema sp., and Porphyromonas sp."
Helicobacter pylori,Gastric and duodenal ulcer,"Both types of peptic ulcer showed a significant decline in their hospitalisation rates between 1970 and 1995, the decline being far more pronounced in duodenal than gastric ulcer (fig 2). In the veterans population, the hospitalisation rates for gastric and duodenal ulcer were similar among whites and non-whites. In striking contrast with the behaviour of peptic ulcer"
Helicobacter pylori,Gastro-oesophageal reflux,The ethnic variations and the opposing time trends of gastroduodenal versus oesophageal disease are consistent with the hypothesis that the declining infection rates of H pylori in the general population have led to a rise in the occurrence of gastro-oesophageal reflux disease and associated oesophageal adenocarcinoma.
Helicobacter pylori,Gastro-oesophageal reflux,"This process appears to be partially reversible, as eradication of H pylori in order to cure peptic ulcer disease can result in new onset of gastro-oesophageal reflux disease (GORD)."
Staphylococcus aureus,Guttate psoriasis,The best known casesare induction of guttate psoriasis following a streptococcalthroat infection and aggravation of atopic dermatitisfollowing colonization with Staphylococcus aureus
Clostridia,Atopy,"By using fluorescence in situ hydridization, atopic subjects had more clostridia in their stools than nonatopic subjects, resulting in a reduced ratio of bifidobacteria to clostridia."
Clostridia,Atopy,The results demonstrated that the ratio of bifidobacteria to clostridia was reduced in atopic subjects.
Clostridia,Atopy,The difference was caused by a tendency toward lower counts of bifidobacteria and higher counts of clostridia in atopic subjects.
Clostridia,Atopy,The data obtained here demonstrate for the first time that differences in gut microflora precede the development of atopy and characterize the difference as a reduced ratio of bifidobacteria to clostridia at neonatal age.
Bifidobacterium,Diarrhea Irritable bowel syndrome(IBS),Average results from three fecal samples suggested differences in the Clostridium coccoides subgroup and Bifidobacterium catenulatum group between IBS patients (n = 21) and controls (n = 15). 
Bifidobacterium,Diarrhea Irritable bowel syndrome(IBS),"Bidobacterium spp. in 1 g fecal samples (wet weight) of control subjects and patients diagnosed with diarrhea, alternating type or constipation predominant IBS."
Bifidobacterium,Diarrhea Irritable bowel syndrome(IBS),spp. and Bidobacterium spp. than healthy control subjects or patients diagnosed with constipation predominant or alternating type IBS.
Bifidobacterium,Diarrhea Irritable bowel syndrome(IBS),"Unlike Balsari et al. (6), we could not observe differences in the total Bidobacterium spp. between the IBS patients and healthy controls;"
Bifidobacterium catenulatum,Irritable bowel syndrome(IBS),Average results from three fecal samples suggested differences in the Clostridium coccoides subgroup and Bifidobacterium catenulatum group between IBS patients (n = 21) and controls (n = 15). 
Bifidobacterium catenulatum,Irritable bowel syndrome(IBS),"Figure 2. Box and whiskers plots presenting the mean amounts of genomic DNAs for (A) C. coccoides group, and (B) B. catenulatum group in three fecal samples taken at 3 months intervals for control subjects and IBS patients. "
Bifidobacterium catenulatum,Irritable bowel syndrome(IBS),"Unlike Balsari et al. (6), we could not observe differences in the total Bidobacterium spp. between the IBS patients and healthy controls; however, differences were ob-served in the B. catenulatum group when the pooled results from 3 fecal samples of 21 patients and 15 healthy controls were analyzed"
Bifidobacterium catenulatum,Irritable bowel syndrome(IBS),"At the species level, Bifidobacterium catenulatum levels were significantly lower (6 ± 0.6 vs 19 ± 2.5, P < 0.001) in the IBS patients in both fecal and duodenal brush samples than in healthy subjects. Kerckhoffs AP, Samsom M, van der Rest ME, de Vogel J, Knol J, Ben-Amor K, Akkermans LM. Lower Bifidobacteria counts in both duodenal mucosa-associated and fecal microbiota in irritable bowel syndrome patients. World J Gastroenterol 2009; 15(23): 2887-2892 [PMID: 19533811 DOI: 10.3748/wjg.15.2887]"
