hsa-let-7a,Colonic Neoplasms,"Furthermore, a reduction in the expression of hsalet7a was associated with lung cancers and in particular with reduced survival./ Mayr et al. demonstrated that a chromosomal translocation at 12q5 disrupts let-7 expression and consequently curtails inhibition of the oncogene High Mobility Group A2 (Hmga2). Let-7 has also been implicated in the development of colon cancers and the progression of colorectal cancers."
hsa-let-7a,Heart Failure,hsa-let-7a uperegulated human activation induced Heart Failure
hsa-let-7a,Lung Neoplasms,"Furthermore, a reduction in the expression of let-7 was associated with lung cancers and in particular with reduced survival./ Mayr et al. demonstrated that a chromosomal translocation at 12q5 disrupts let-7 expression and consequently curtails inhibition of the oncogene High Mobility Group A2 (Hmga2). Let-7 has also been implicated in the development of colon cancers and the progression of colorectal cancers."
hsa-let-7a,Lung Neoplasms,Studies by Takamizawa et al. and Yanaihara et al. have presented evidence that transcripts of certain let-7 homologs are significantly downregulated in human lung cancer and that low levels of let-7 correlate with poor prognosis.
hsa-let-7a,Lung Neoplasms,hsa-let-7a negatively regulate the RAS gene.
hsa-let-7a,Lung Neoplasms,hsa-let-7a expression was frequently downregulated in the Lung Neoplasms
hsa-let-7a,Lung Neoplasms,Recent study demonstrated that the expression of let-7 was significantly reduced while the expression of RAS was dramatically increased in lung tumor tissues.
hsa-let-7a,Lung Neoplasms,let-7a-1 expression correlates with poor survival of lung cancer patients
hsa-let-7a,Lung Neoplasms,hsa-let-7a reduced expression Lung Neoplasms
hsa-let-7a,Neoplasms,let-7 family members have been suggested to serve as tumor suppressors by directly inhibiting the Hmg2A and RAS protooncogenes
hsa-let-7a,Neoplasms,Disrupting the pairing between let-7 and Hmga2
hsa-let-7a,Neoplasms,"let-7a-1 downregulated in six solid cancer types by PAM and SAM (Volinia et al., 2006);"
hsa-let-7a,Neoplasms,"Let-7/mir-98 expression is reduced in tumours, potentially contributing to elevated activity of the Ras pathway and effects on growth control."
hsa-let-7a,Breast Neoplasms,"let-7a-2, 7a-3, 7d, 7f-2 downregulated in breast cancer"
hsa-let-7b,Colonic Neoplasms,"Furthermore, a reduction in the expression of let-7 was associated with lung cancers and in particular with reduced survival./ Mayr et al. demonstrated that a chromosomal translocation at 12q5 disrupts let-7 expression and consequently curtails inhibition of the oncogene High Mobility Group A2 (Hmga2). Let-7 has also been implicated in the development of colon cancers and the progression of colorectal cancers."
hsa-let-7b,Heart Failure,hsa-let-7b uperegulated human activation induced Heart Failure
hsa-let-7b,Lung Neoplasms,"Furthermore, a reduction in the expression of let-7 was associated with lung cancers and in particular with reduced survival./ Mayr et al. demonstrated that a chromosomal translocation at 12q5 disrupts let-7 expression and consequently curtails inhibition of the oncogene High Mobility Group A2 (Hmga2). Let-7 has also been implicated in the development of colon cancers and the progression of colorectal cancers."
hsa-let-7b,Lung Neoplasms,Studies by Takamizawa et al. and Yanaihara et al. have presented evidence that transcripts of certain let-7 homologs are significantly downregulated in human lung cancer and that low levels of let-7 correlate with poor prognosis.
hsa-let-7b,Lung Neoplasms,hsa-let-7b decrease abundance and negatively regulate the RAS gene.
hsa-let-7b,Lung Neoplasms,hsa-let-7b expression was frequently downregulated in the Lung Neoplasms
hsa-let-7b,Lung Neoplasms,Recent study demonstrated that the expression of let-7 was significantly reduced while the expression of RAS was dramatically increased in lung tumor tissues.
hsa-let-7b,Lung Neoplasms,hsa-let-7b expression correlates with poor survival of lung cancer patients
hsa-let-7b,Lung Neoplasms,hsa-let-7b reduced expression Lung Neoplasms
hsa-let-7b,Neoplasms,let-7 family members have been suggested to serve as tumor suppressors by directly inhibiting the Hmg2A and RAS protooncogenes
hsa-let-7b,Neoplasms,Disrupting the pairing between let-7 and Hmga2
hsa-let-7b,Neoplasms,"Let-7/mir-98 expression is reduced in tumours, potentially contributing to elevated activity of the Ras pathway and effects on growth control."
hsa-let-7c,Colonic Neoplasms,"Furthermore, a reduction in the expression of let-7 was associated with lung cancers and in particular with reduced survival./ Mayr et al. demonstrated that a chromosomal translocation at 12q5 disrupts let-7 expression and consequently curtails inhibition of the oncogene High Mobility Group A2 (Hmga2). Let-7 has also been implicated in the development of colon cancers and the progression of colorectal cancers."
hsa-let-7c,Heart Failure,hsa-let-7c uperegulated human activation induced Heart Failure
hsa-let-7c,Lung Neoplasms,"Furthermore, a reduction in the expression of let-7 was associated with lung cancers and in particular with reduced survival./ Mayr et al. demonstrated that a chromosomal translocation at 12q5 disrupts let-7 expression and consequently curtails inhibition of the oncogene High Mobility Group A2 (Hmga2). Let-7 has also been implicated in the development of colon cancers and the progression of colorectal cancers."
hsa-let-7c,Lung Neoplasms,Studies by Takamizawa et al. and Yanaihara et al. have presented evidence that transcripts of certain let-7 homologs are significantly downregulated in human lung cancer and that low levels of let-7 correlate with poor prognosis.
hsa-let-7c,Lung Neoplasms,hsa-let-7c decrease abundance and negatively regulate the RAS gene.
hsa-let-7c,Lung Neoplasms,hsa-let-7c expression was frequently downregulated in the Lung Neoplasms
hsa-let-7c,Lung Neoplasms,Recent study demonstrated that the expression of let-7 was significantly reduced while the expression of RAS was dramatically increased in lung tumor tissues.
hsa-let-7c,Lung Neoplasms,hsa-let-7c expression correlates with poor survival of lung cancer patients
hsa-let-7c,Lung Neoplasms,hsa-let-7c reduced expression Lung Neoplasms
hsa-let-7c,"Muscular Disorders, Atrophic","dysregulation of hsa-let-7c can contribute to the Muscular Disorders, Atrophic"
hsa-let-7c,Neoplasms,let-7 family members have been suggested to serve as tumor suppressors by directly inhibiting the Hmg2A and RAS protooncogenes
hsa-let-7c,Neoplasms,Disrupting the pairing between let-7 and Hmga2
hsa-let-7c,Neoplasms,"Let-7/mir-98 expression is reduced in tumours, potentially contributing to elevated activity of the Ras pathway and effects on growth control."
hsa-let-7d,Breast Neoplasms,"let-7a-2, 7a-3, 7d, 7f-2 downregulated in breast cancer"
hsa-let-7d,Colonic Neoplasms,"Furthermore, a reduction in the expression of let-7 was associated with lung cancers and in particular with reduced survival./ Mayr et al. demonstrated that a chromosomal translocation at 12q5 disrupts let-7 expression and consequently curtails inhibition of the oncogene High Mobility Group A2 (Hmga2). Let-7 has also been implicated in the development of colon cancers and the progression of colorectal cancers."
hsa-let-7d,Heart Failure,hsa-let-7d uperegulated human activation induced Heart Failure
hsa-let-7d,Lung Neoplasms,"Furthermore, a reduction in the expression of let-7 was associated with lung cancers and in particular with reduced survival./ Mayr et al. demonstrated that a chromosomal translocation at 12q5 disrupts let-7 expression and consequently curtails inhibition of the oncogene High Mobility Group A2 (Hmga2). Let-7 has also been implicated in the development of colon cancers and the progression of colorectal cancers."
hsa-let-7d,Lung Neoplasms,Studies by Takamizawa et al. and Yanaihara et al. have presented evidence that transcripts of certain let-7 homologs are significantly downregulated in human lung cancer and that low levels of let-7 correlate with poor prognosis.
hsa-let-7d,Lung Neoplasms,hsa-let-7d negatively regulate the RAS gene.
hsa-let-7d,Lung Neoplasms,hsa-let-7d expression was frequently downregulated in the Lung Neoplasms
hsa-let-7d,Lung Neoplasms,Recent study demonstrated that the expression of let-7 was significantly reduced while the expression of RAS was dramatically increased in lung tumor tissues.
hsa-let-7d,Lung Neoplasms,hsa-let-7d expression correlates with poor survival of lung cancer patients
hsa-let-7d,Lung Neoplasms,hsa-let-7d reduced expression Lung Neoplasms
hsa-let-7d,Neoplasms,let-7 family members have been suggested to serve as tumor suppressors by directly inhibiting the Hmg2A and RAS protooncogenes
hsa-let-7d,Neoplasms,Disrupting the pairing between let-7 and Hmga2
hsa-let-7d,Neoplasms,"Let-7/mir-98 expression is reduced in tumours, potentially contributing to elevated activity of the Ras pathway and effects on growth control."
hsa-let-7e,"Carcinoma, Hepatocellular","Independent observations showed that the expression of miRNAs let-7e, 125a and 99b, located at 19q13.4, were considerably lower in HCC compared to nontumor liver [59] and [65]. Given that miRNA-125a targets expression of the mitochondrial tumor suppressor gene, MTSG1, and RAR|谩, chromosomal instability in and around FRA19A may extinguish expression of these tumor suppressor genes."
